,Company,TypeName,Inches,Cpu,Ram,Memory1,Memory2,Gpu,OpSys,Price
241,Asus,Notebook,17.3,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce 150MX,Windows 10,61005.6
242,Asus,Notebook,17.3,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,No OS,47365.92
243,Dell,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,46833.12
244,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,57489.12
245,Dell,Notebook,15.6,Intel Core i7,8,128GB SSD,2TB HDD,AMD Radeon 530,Windows 10,52480.8
246,HP,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,29783.52
247,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,159786.72
248,HP,Notebook,13.3,Intel Core i5,4,500GB HDD,No memory,Intel UHD Graphics,Windows 10,35964.0
249,Apple,Ultrabook,13.3,Intel Core i5,8,512GB SSD,No memory,Intel Iris Plus,macOS,108691.2
250,Dell,2 in 1 Convertible,15.6,Intel Core i7,8,1TB HDD,No memory,Intel UHD Graphics,Windows 10,43636.32
251,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,95850.72
252,Asus,Notebook,15.6,AMD A9-Series,4,1TB HDD,No memory,AMD Radeon R5,Windows 10,24988.32
253,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,8,512GB SSD,No memory,Intel UHD Graphics,Windows 10,98514.72
254,Acer,Notebook,17.3,Intel Core i3,4,256GB SSD,No memory,Nvidia GeForce MX130,Windows 10,37402.56
255,Dell,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,50562.72
256,HP,Notebook,15.6,AMD A6-Series,8,128GB SSD,No memory,AMD Radeon R4,Windows 10,23757.552
257,HP,Notebook,17.3,Intel Core i7,16,1TB HDD,No memory,Nvidia GeForce MX150,Windows 10,56423.52
258,MSI,Gaming,17.3,Intel Core i7,16,512GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,133146.72
259,Lenovo,2 in 1 Convertible,15.6,Intel Core i7,8,512GB SSD,No memory,Nvidia GeForce GTX,Windows 10,90522.72
260,Dell,Notebook,17.3,Intel Core i7,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,60845.76
261,Lenovo,Notebook,15.6,Intel Core i3,4,256GB SSD,No memory,Intel HD Graphics,No OS,23656.32
262,HP,Notebook,15.6,Intel Core i5,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,38468.16
263,Dell,Notebook,15.6,Intel Core i5,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,35004.96
264,Dell,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,AMD Radeon R5,Windows 10,30103.2
265,Dell,2 in 1 Convertible,15.6,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,42570.72
266,Asus,2 in 1 Convertible,13.3,Intel Core i7,8,512GB SSD,512GB SSD,Intel UHD Graphics,Windows 10,79866.72
268,HP,Notebook,17.3,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce 930MX,Windows 10,54239.04
269,Lenovo,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,46886.4
270,Apple,Ultrabook,13.3,Intel Core i5,8,512GB SSD,No memory,Intel Iris Graphics,macOS,104370.192
271,Asus,Gaming,17.3,AMD Ryzen,16,256GB SSD,1TB HDD,AMD Radeon RX,Windows 10,82530.72
272,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon 520,Linux,39164.5296
273,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,512GB SSD,No memory,Intel HD Graphics,Windows 10,133146.72
274,Toshiba,Notebook,15.6,Intel Core i7,8,500GB HDD,No memory,Nvidia GeForce 930M,Windows 10,43263.36
275,Dell,Notebook,15.6,Intel Core i7,12,1TB HDD,No memory,Intel HD Graphics,Windows 10,37992.3696
276,Dell,Notebook,17.3,Intel Core i7,8,128GB SSD,1TB HDD,AMD Radeon 530,Linux,58554.72
277,Acer,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce MX130,Windows 10,39693.6
278,Lenovo,Notebook,17.3,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,26053.92
279,Lenovo,Notebook,17.3,Intel Core i7,8,2TB HDD,No memory,Nvidia GeForce MX150,No OS,45234.72
280,Lenovo,Notebook,17.3,Intel Core i7,6,128GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,45767.52
281,Dell,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,AMD Radeon R5,Linux,22803.84
282,Lenovo,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,44169.12
283,Lenovo,Notebook,15.6,Intel Core i5,6,256GB SSD,No memory,Intel HD Graphics,Windows 10,30849.12
284,Acer,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce MX150,Windows 10,50669.28
285,Acer,Notebook,15.6,Intel Core i7,12,1TB HDD,No memory,Intel HD Graphics,Windows 10,35111.52
286,Lenovo,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,58448.16
287,Asus,Ultrabook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,52054.56
288,Lenovo,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,62817.12
289,Lenovo,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce 940MX,No OS,35112.0528
290,Acer,Notebook,15.6,Intel Celeron Dual,2,16GB SSD,No memory,Intel HD Graphics,Chrome OS,10602.72
291,Asus,Gaming,17.3,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,63243.36
292,HP,Notebook,17.3,Intel Core i3,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,26053.92
293,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,97449.12
294,Lenovo,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,39373.92
295,Lenovo,Gaming,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,69210.72
296,Acer,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Linux,52161.12
297,Dell,Workstation,17.3,Intel Core i7,16,256GB SSD,No memory,Nvidia Quadro M1200,Windows 10,153705.3408
298,Lenovo,Notebook,15.6,AMD A10-Series,6,1TB HDD,No memory,AMD Radeon R5,Windows 10,26586.72
299,Asus,Ultrabook,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,78215.04
300,Asus,Notebook,14.0,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,27119.52
301,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,113060.16
302,Lenovo,Notebook,17.3,Intel Core i5,6,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,34578.72
303,Lenovo,Notebook,15.6,Intel Core i5,8,2TB HDD,No memory,Nvidia GeForce 940MX,No OS,29250.72
304,Asus,Gaming,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,67399.2
305,Lenovo,Notebook,15.6,Intel Pentium Quad,4,1TB HDD,No memory,Intel HD Graphics,No OS,19180.2672
306,HP,2 in 1 Convertible,13.3,Intel Core i7,16,256GB SSD,No memory,Intel HD Graphics,Windows 10,105228.0
307,Toshiba,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 930M,Windows 10,55571.04
308,Lenovo,Notebook,15.6,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,43636.32
309,HP,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,24988.32
310,Lenovo,Notebook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,53226.72
311,Dell,Ultrabook,13.3,Intel Core i7,16,1TB SSD,No memory,Intel UHD Graphics,Windows 10,133146.72
312,MSI,Gaming,15.6,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,111834.72
313,Acer,Notebook,15.6,AMD A8-Series,8,256GB SSD,No memory,AMD Radeon R5,Windows 10,24988.32
314,Asus,2 in 1 Convertible,11.6,Intel Celeron Dual,2,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,14652.0
315,Dell,Notebook,15.6,Intel Core i5,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,44968.32
316,HP,2 in 1 Convertible,13.3,Intel Core i7,16,1TB SSD,No memory,Intel UHD Graphics,Windows 10,130482.72
317,Lenovo,Notebook,13.3,Intel Celeron Dual,4,16GB Flash Storage,No memory,Intel HD Graphics,Chrome OS,24503.472
318,HP,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,52214.4
319,Acer,Notebook,11.6,Intel Pentium Quad,4,128GB Flash Storage,No memory,Intel HD Graphics,Windows 10,25840.8
320,HP,Notebook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,68837.76
321,Lenovo,Notebook,17.3,Intel Core i5,4,1TB HDD,No memory,Nvidia GeForce 920MX,Windows 10,31381.92
322,Asus,Notebook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,58288.32
323,HP,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Intel UHD Graphics,Windows 10,48058.56
324,Acer,Notebook,15.6,AMD A12-Series,8,256GB SSD,No memory,AMD Radeon RX,Windows 10,35111.52
325,Lenovo,Notebook,14.0,Intel Celeron Dual,4,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,15557.76
326,Acer,Notebook,15.6,Intel Core i5,6,1TB HDD,No memory,Intel HD Graphics,Windows 10,29250.72
327,Asus,Ultrabook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,55938.672
328,HP,Ultrabook,12.5,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,71128.8
329,Dell,Notebook,15.6,Intel Core i7,32,1TB SSD,No memory,Nvidia GeForce GTX,Windows 10,140605.92
330,MSI,Gaming,17.3,Intel Core i7,8,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,63882.72
331,Toshiba,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,50243.04
332,Asus,Notebook,14.0,Intel Core i7,8,256GB SSD,1TB HDD,Intel HD Graphics,Windows 10,71075.52
333,Lenovo,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,23922.72
334,Asus,Gaming,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,53226.72
335,HP,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,67559.04
337,HP,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,60952.32
338,Asus,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,Linux,14651.4672
339,Dell,Notebook,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,60885.72
340,Dell,Notebook,15.6,Intel Celeron Dual,4,500GB HDD,No memory,Intel HD Graphics,Linux,14646.672
341,Lenovo,Notebook,15.6,AMD A12-Series,12,2TB HDD,No memory,AMD Radeon 530,Windows 10,47898.72
342,HP,Notebook,15.6,Intel Core i3,8,1TB HDD,No memory,Nvidia GeForce 930MX,Windows 10,38148.48
343,Lenovo,2 in 1 Convertible,13.9,Intel Core i7,16,512GB SSD,No memory,Intel UHD Graphics,Windows 10,111834.72
344,Dell,Ultrabook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,84129.12
345,Lenovo,Gaming,15.6,Intel Core i7,16,256GB SSD,2TB HDD,Nvidia GeForce GTX,Windows 10,60153.12
346,HP,Notebook,14.0,Intel Celeron Dual,2,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,14865.12
347,Dell,Ultrabook,15.6,Intel Core i7,16,512GB SSD,256GB SSD,Intel UHD Graphics,Windows 10,85672.1088
348,Asus,2 in 1 Convertible,11.6,Intel Celeron Dual,4,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,19980.0
349,Dell,Ultrabook,15.6,Intel Core i5,8,1TB HDD,No memory,AMD Radeon 530,Windows 10,35324.64
351,HP,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,69477.12
352,MSI,Gaming,17.3,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,75071.52
353,HP,Workstation,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia Quadro M1200,Windows 10,92615.0256
354,Toshiba,Notebook,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce 930M,Windows 10,74751.84
355,Dell,Notebook,15.6,Intel Core i7,8,128GB SSD,2TB HDD,AMD Radeon 530,Windows 10,51729.552
356,Lenovo,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,No OS,17155.6272
357,Dell,Gaming,15.6,Intel Core i5,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,53226.72
358,Dell,Notebook,15.6,Intel Core i5,8,2TB HDD,No memory,Intel HD Graphics,Windows 10,29696.6736
359,Dell,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,76030.56
360,HP,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,23389.92
361,Asus,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,50349.6
362,Lenovo,Notebook,17.3,Intel Core i5,6,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,38308.32
363,HP,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,34045.92
364,Lenovo,Notebook,15.6,Intel Core i3,8,256GB SSD,No memory,Nvidia GeForce 920MX,No OS,26586.72
365,HP,Notebook,15.6,Intel Pentium Quad,8,2TB HDD,No memory,Intel HD Graphics,Windows 10,20725.92
366,Dell,Notebook,17.3,Intel Core i5,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,57808.8
367,Lenovo,Gaming,15.6,Intel Core i5,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,No OS,43103.52
368,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon R7,Windows 10,47898.72
369,HP,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,93240.0
370,Asus,2 in 1 Convertible,15.6,Intel Core i7,12,512GB SSD,2TB HDD,Nvidia GeForce GT,Windows 10,58554.72
371,Acer,Notebook,15.6,AMD A9-Series,4,128GB SSD,No memory,AMD Radeon R5,Windows 10,22697.28
372,Asus,Gaming,17.3,AMD Ryzen,16,256GB SSD,1TB HDD,AMD Radeon RX,Windows 10,117162.72
373,Lenovo,Notebook,17.3,AMD A8-Series,4,128GB SSD,No memory,AMD Radeon R5,Windows 10,26053.92
374,Dell,2 in 1 Convertible,13.3,Intel Core i7,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,46300.8528
375,HP,Notebook,15.6,AMD A9-Series,4,256GB SSD,No memory,AMD Radeon R5,Windows 10,26053.3872
376,Lenovo,Netbook,11.6,Intel Celeron Quad,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,29463.84
377,Dell,Notebook,15.6,Intel Celeron Dual,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,16463.52
378,Asus,Notebook,14.0,Intel Celeron Dual,4,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,15238.08
379,Acer,Notebook,15.6,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Linux,45074.88
380,HP,Gaming,17.3,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,63456.48
381,Lenovo,Notebook,15.6,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,No OS,21498.48
382,Asus,Gaming,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,88178.4
383,Lenovo,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,58554.72
384,Asus,Ultrabook,13.3,Intel Core i7,16,512GB SSD,No memory,Intel HD Graphics,Windows 10,93181.392
385,Lenovo,Ultrabook,14.0,Intel Core i7,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,121584.96
386,Lenovo,Notebook,13.3,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,29250.72
387,Dell,Workstation,15.6,Intel Core i5,8,500GB HDD,No memory,AMD FirePro W5130M,Windows 10,72940.32
388,Dell,Workstation,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia Quadro M1200,Windows 10,113752.8
389,Lenovo,2 in 1 Convertible,14.0,Intel Core i7,16,512GB SSD,No memory,Intel HD Graphics,Windows 10,133679.52
390,Asus,Gaming,17.3,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,55357.92
391,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,84768.48
392,Acer,Notebook,15.6,Intel Core i5,12,1TB HDD,No memory,Nvidia GeForce MX130,Windows 10,36975.7872
393,MSI,Gaming,17.3,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,71874.72
394,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon R7,Linux,41498.1936
395,HP,Ultrabook,15.6,AMD A9-Series,4,256GB SSD,No memory,AMD Radeon 520,Windows 10,26586.72
396,Lenovo,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,AMD Radeon RX,Windows 10,65510.9568
397,Lenovo,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,49976.64
398,Dell,Workstation,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia Quadro M1200,Windows 10,144495.36
399,Lenovo,Ultrabook,14.0,Intel Core i7,16,1TB SSD,No memory,Intel HD Graphics,Windows 10,139860.0
400,Lenovo,Notebook,15.6,Intel Celeron Dual,4,1TB HDD,No memory,Intel HD Graphics,Windows 10,16303.68
401,Asus,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,81465.12
402,Lenovo,Notebook,25.6,Intel Core i5,8,256GB SSD,1TB HDD,AMD Radeon RX,Windows 10,60978.96
403,Acer,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia GeForce GTX,Linux,46833.12
404,MSI,Gaming,17.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,119826.72
405,Asus,Ultrabook,14.0,Intel Core i7,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,99793.44
406,Toshiba,Ultrabook,13.3,Intel Core i7,16,512GB SSD,No memory,Intel HD Graphics,Windows 10,93080.16
407,Dell,Ultrabook,14.0,Intel Core i7,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,89510.4
408,Lenovo,Notebook,35.6,Intel Core i3,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,21791.52
409,Lenovo,Notebook,11.6,Intel Celeron Dual,2,32GB Flash Storage,No memory,Intel HD Graphics,Windows 10,16221.096
410,Lenovo,Workstation,15.6,Intel Core i7,8,512GB SSD,No memory,Nvidia Quadro M1200,Windows 10,102564.0
411,Lenovo,Ultrabook,14.0,Intel Core i7,8,512GB SSD,No memory,Nvidia GeForce GT,Windows 10,103523.04
412,HP,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,AMD Radeon 520,Windows 10,24988.32
413,Acer,2 in 1 Convertible,13.3,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,42038.4528
414,Asus,2 in 1 Convertible,13.3,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,49443.84
415,Dell,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,AMD Radeon R5,Linux,31909.392
416,Dell,Notebook,13.3,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,36709.92
417,HP,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,79920.0
418,Dell,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,28768.536
419,Lenovo,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,AMD Radeon RX,Windows 10,64755.4464
420,Lenovo,2 in 1 Convertible,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce GTX,Windows 10,101178.72
421,Chuwi,Notebook,12.3,Intel Celeron Quad,6,64GB Flash Storage,No memory,Intel HD Graphics,Windows 10,23922.72
422,HP,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,76030.56
423,Asus,Notebook,35.6,Intel Core i3,8,1TB HDD,No memory,Nvidia GeForce 940MX,Linux,31808.16
424,Dell,Gaming,27.3,Intel Core i7,16,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,149130.72
425,Dell,Gaming,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,61751.52
426,Dell,Notebook,15.6,Intel Core i7,8,256GB SSD,2TB HDD,AMD Radeon 530,Windows 10,60867.072
427,Dell,Ultrabook,14.0,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Linux,58554.72
428,HP,Gaming,17.3,Intel Core i7,12,256GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,106506.72
429,Mediacom,2 in 1 Convertible,11.6,Intel Celeron Dual,4,32GB SSD,No memory,Intel HD Graphics,Windows 10,15930.72
430,Samsung,Netbook,11.6,Intel Celeron Dual,4,16GB Flash Storage,No memory,Intel HD Graphics,Chrome OS,14332.32
431,Lenovo,Notebook,13.3,Intel Core i7,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,53812.8
432,Lenovo,Notebook,14.0,Intel Core i3,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,31914.72
433,Lenovo,Workstation,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia GeForce 940MX,Windows 10,130269.6
434,Lenovo,Notebook,15.6,Intel Core i7,16,512GB SSD,No memory,Nvidia Quadro M2200M,Windows 10,130482.72
435,Asus,Gaming,17.3,AMD Ryzen,8,256GB SSD,1TB HDD,AMD Radeon RX,Windows 10,90309.6
436,HP,Notebook,15.6,Intel Celeron Dual,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,18488.16
437,Google,Ultrabook,12.3,Intel Core i7,16,512GB SSD,No memory,Intel HD Graphics,Chrome OS,117162.72
438,Lenovo,Ultrabook,24.0,Intel Core i7,24,512GB SSD,No memory,Intel HD Graphics,Windows 10,126912.96
439,Asus,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,Intel HD Graphics,Linux,29783.52
440,Lenovo,Notebook,17.3,AMD A6-Series,8,1TB HDD,No memory,AMD Radeon R4,Windows 10,27652.32
441,Dell,Notebook,15.6,Intel Core i5,4,256GB SSD,No memory,AMD Radeon 530,Windows 10,39906.72
442,Lenovo,Ultrabook,12.5,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,76137.12
443,Lenovo,Notebook,15.6,Intel Pentium Quad,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,18594.72
444,HP,Gaming,15.6,Intel Core i7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX,Windows 10,58554.72
445,Dell,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce 930MX,Windows 10,62817.12
446,Acer,Notebook,15.6,Intel Core i5,4,500GB HDD,No memory,Intel HD Graphics,Linux,23539.104
447,Dell,Workstation,15.6,Intel Xeon E3-1505M,8,64GB Flash Storage,1TB HDD,Nvidia Quadro M620,Windows 10,106187.04
448,MSI,Gaming,15.6,Intel Core i5,8,256GB SSD,No memory,Nvidia GeForce GTX,Windows 10,54757.9872
449,Microsoft,Ultrabook,13.5,Intel Core i7,16,512GB SSD,No memory,Intel Iris Plus,Windows 10 S,137941.92
450,HP,Notebook,15.6,Intel Core i5,8,128GB SSD,No memory,Intel HD Graphics,Windows 10,31381.92
451,Dell,Workstation,15.6,Intel Core i7,16,256GB SSD,No memory,Nvidia Quadro M620,Windows 10,105228.0
452,HP,Workstation,15.6,Intel Core i7,8,512GB SSD,No memory,Intel HD Graphics,Windows 10,81731.52
453,Lenovo,Notebook,14.0,Intel Core i5,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,71661.6
454,Dell,Notebook,15.6,Intel Core i7,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,52161.12
455,Dell,2 in 1 Convertible,11.6,Intel Pentium Quad,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,25521.12
456,Dell,Notebook,17.3,Intel Core i7,8,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,109010.88
457,Microsoft,Ultrabook,13.5,Intel Core M,4,128GB SSD,No memory,Intel HD Graphics,Windows 10 S,52693.92
458,Microsoft,Ultrabook,33.5,Intel Core i7,8,256GB SSD,No memory,Intel Iris Plus,Windows 10 S,95850.72
459,HP,Notebook,17.3,Intel Core i3,8,256GB SSD,No memory,Intel HD Graphics,Windows 10,34093.872
460,Acer,Notebook,15.6,Intel Core i3,4,1TB HDD,No memory,Nvidia GeForce 940MX,Windows 10,28984.32
461,Acer,Netbook,11.6,Intel Celeron Dual,4,128GB SSD,No memory,Intel HD Graphics,Windows 10,23176.8
462,Asus,Notebook,15.6,Intel Core i5,8,1TB HDD,No memory,Intel HD Graphics,Windows 10,39906.72
463,Lenovo,Notebook,14.0,Intel Core i7,8,512GB SSD,No memory,AMD Radeon R7,No OS,42570.72
464,Lenovo,Notebook,15.6,Intel Core i7,8,256GB SSD,No memory,Nvidia Quadro M2200M,Windows 10,111355.2
465,Asus,Notebook,15.6,Intel Pentium Quad,4,500GB HDD,No memory,Intel HD Graphics,Windows 10,16197.12
466,Acer,Notebook,15.6,Intel Core i3,4,500GB HDD,No memory,Nvidia GeForce GTX,Windows 10,24988.32
467,Dell,Notebook,15.6,Intel Core i5,8,2TB HDD,No memory,AMD Radeon 530,Windows 10,40439.52
468,HP,Gaming,17.3,Intel Core i7,12,1TB HDD,No memory,Nvidia GeForce GTX,Windows 10,90522.72
469,Lenovo,Ultrabook,14.0,Intel Core i7,12,256GB SSD,No memory,Intel HD Graphics,Windows 10,98994.24
470,HP,2 in 1 Convertible,13.3,Intel Core i7,8,512GB SSD,No memory,Intel UHD Graphics,Windows 10,106506.72
471,HP,Notebook,15.6,Intel Core i5,8,500GB HDD,No memory,AMD FirePro W4190M,Windows 10,61485.12
472,Google,Ultrabook,12.3,Intel Core i5,8,128GB SSD,No memory,Intel HD Graphics,Chrome OS,67932.0
473,Dell,Ultrabook,13.3,Intel Core i5,8,256GB SSD,No memory,Intel UHD Graphics,Windows 10,98133.768
